
    AUPRC score:71.8746326638129   FPR@TPR95:69.27322473714806
    AUPRC score:71.78926283930107   FPR@TPR95:77.11756525885102
    AUPRC score:71.53733846077267   FPR@TPR95:98.31132804160104
    AUPRC score:40.01943458867586   FPR@TPR95:39.463699236003514
    AUPRC score:40.749431262089345   FPR@TPR95:39.510072201560114
    AUPRC score:41.79419950684962   FPR@TPR95:43.422895537194236
    AUPRC score:75.71731772324668   FPR@TPR95:52.92927264942971
    AUPRC score:75.82707959725872   FPR@TPR95:51.93409119889304
    AUPRC score:75.85493397447753   FPR@TPR95:58.53970807379347
    AUPRC score:40.41967719465628   FPR@TPR95:62.77911125760317

    AUPRC score:84.25743927797326   FPR@TPR95:88.12815485101815
    AUPRC score:45.02833484542218   FPR@TPR95:85.77536726629174
    AUPRC score:32.34730879923672   FPR@TPR95:65.25066224901862
    AUPRC score:32.3476247666947   FPR@TPR95:65.25246608073448
    AUPRC score:32.34623369868686   FPR@TPR95:65.25141416772571
    AUPRC score:40.42103150233502   FPR@TPR95:62.78283064571686
    AUPRC score:32.34705543967239   FPR@TPR95:65.2505791320407
    AUPRC score:32.346900433246255   FPR@TPR95:65.25249855434447
    AUPRC score:32.34662453291338   FPR@TPR95:65.2505953688457
    AUPRC score:32.346974759755255   FPR@TPR95:65.24809142156242
    AUPRC score:32.34731759581417   FPR@TPR95:65.24598017300546
    AUPRC score:32.344051674354404   FPR@TPR95:65.25843774565415
    AUPRC score:40.420143222811745   FPR@TPR95:62.78265204086201
    AUPRC score:32.34689306108348   FPR@TPR95:65.24610299283748
    AUPRC score:85.27947259435264   FPR@TPR95:79.33787734233384
    AUPRC score:12.422698483354635   FPR@TPR95:82.58146429041928
    AUPRC score:32.90729338102047   FPR@TPR95:82.94844522473949
    AUPRC score:32.90788757281394   FPR@TPR95:82.94818667471547
    AUPRC score:40.28327903047086   FPR@TPR95:86.41365318191066
    AUPRC score:40.42069762142914   FPR@TPR95:62.77876332606775
    AUPRC score:84.26436432251893   FPR@TPR95:88.09600186806927
    AUPRC score:38.356176921180825   FPR@TPR95:80.67263466553253
    AUPRC score:45.02822147097912   FPR@TPR95:85.77556650305279
    AUPRC score:15.582382904373102   FPR@TPR95:73.26277029215193
    AUPRC score:45.0265685420866   FPR@TPR95:85.77749721146878
    AUPRC score:40.42122363283222   FPR@TPR95:62.78254418208602
    AUPRC score:45.02663764587377   FPR@TPR95:85.77699782683854
    AUPRC score:52.20195071918642   FPR@TPR95:35.51431239566403
    AUPRC score:52.20031321981543   FPR@TPR95:35.51431239566403
    AUPRC score:64.3821632809538   FPR@TPR95:62.80727863493934
    AUPRC score:64.3821632809538   FPR@TPR95:62.80727863493934
    AUPRC score:60.203788763603626   FPR@TPR95:35.449584372585505
    AUPRC score:60.07090342160828   FPR@TPR95:35.49024597135874
    AUPRC score:43.644870796561015   FPR@TPR95:63.675553379308234
    AUPRC score:43.644870796561015   FPR@TPR95:63.675553379308234
    AUPRC score:53.79250662184257   FPR@TPR95:99.95238741901721
    AUPRC score:72.87982850578807   FPR@TPR95:100.0
    AUPRC score:72.87982850578807   FPR@TPR95:100.0
    AUPRC score:71.61676948564103   FPR@TPR95:98.56334943314378
    AUPRC score:86.69839486736029   FPR@TPR95:72.60463895230697
    AUPRC score:41.59643971147749   FPR@TPR95:42.55763091883814
    AUPRC score:69.85871972484611   FPR@TPR95:27.996832322106208
    AUPRC score:75.89675934684452   FPR@TPR95:56.863287192154374
